age,gender,mouse_type,intercept,outcome,std_residuals
357.6543863760622,-267.57678892894984,5539.624141110427,10841.292864206094,connect_the_dots_I_time_msec,7548.756065144784
678.39084682483,-2238.846482789566,4005.567611025725,16294.569608650292,connect_the_dots_II_time_msec,17022.659459618775
-0.14625466558062594,-5.101649160845792,-1.1144022555112294,62.366037402600924,wordlist_correct_words,10.686776311619319
1.664021014367716,-14.358587876624252,10.808895864135824,211.14268082424562,avg_reaction_speed,52.22026900457139
0.24021500881607266,-3.5894797832142085,0.09238157493578524,13.011429322905409,place_the_beads_total_extra_moves,14.495584061854705
-0.029531211575325268,0.3848333164993818,-0.19344579172767526,11.116614565196754,box_tapping_total_correct,1.373123752500648
521.1002128681095,-160.23599738849546,11564.552524293636,27386.225092116263,fill_the_grid_total_time,11219.817602765084
-0.03870860901856106,-1.3726927292424016,-0.40508214801964687,13.693147649241842,wordlist_delayed_correct_words,3.239090536784094
-0.004784196357474868,-0.4368947334236168,0.04291538019412606,29.580398330543417,wordlist_recognition_correct_words,1.172899964422745
-0.02578826743392075,0.22792250071799675,-0.3124351574754787,13.522068714424512,digit_sequence_1_correct_series,2.6249586867260244
-0.026720825402182923,0.3462094826467715,-0.4342593170103657,11.584095609828898,digit_sequence_2_correct_series,3.3625927049849897
364.59771380210293,-1476.1648975195149,-1628.638632788429,1798.880930799236,connect_the_dots_difference,13151.763869570572
272.5696510700377,5422.453624591816,1695.5387995767267,634.5744946995484,typeskill_time,8524.03567655678
211.74629669179834,-943.1636461607892,6222.786643191147,9225.868263383734,clickskill_time,6312.2159279794
225.2641949486725,-1090.8735405383518,3482.490935968635,17107.557697027078,dragskill_time,6588.312163774382
