sample_name,lit_verb_noun_ratio,lit_subordinate_coordinate_conjunction_ratio,lit_adverb_ratio,lit_noun_ratio,lit_verb_ratio,lit_pronoun_ratio,lit_personal_pronoun_ratio,lit_determiner_ratio,lit_preposition_ratio,lit_verb_present_participle_ratio,lit_verb_modal_ratio,lit_verb_third_person_singular_ratio,lit_interjection_ratio,lit_NP -> PRP,lit_ROOT -> FRAG,lit_VP -> VBG,lit_VP -> VBG_PP,lit_VP -> VBD_NP,lit_INTJ -> UH,lit_NP_ratio,lit_VP_ratio,lit_avg_n_words_in_NP,lit_n_words,lit_avg_word_length,lit_words_not_in_dict_ratio,lit_brunets_index,lit_honores_statistic,lit_mattr,lit_NDW-50,lit_flesch_kincaid,lit_avg_distance_between_utterances,lit_prop_utterance_dist_below_05,lit_propositional_density,lit_content_density,sung_frequency_noun,sung_AoA_noun,sung_familiarity_noun,sung_ambiguity_noun,sung_concreteness_noun,pause_fraction_of_pause,pause_mean_pause_duration,pause_std_pause_duration,phon_speech_rate,phon_articulation_rate,smile_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,smile_loudness_sma3_percentile20.0,smile_loudness_sma3_percentile50.0,smile_loudness_sma3_percentile80.0,smile_loudness_sma3_meanRisingSlope,smile_spectralFlux_sma3_amean,smile_spectralFlux_sma3_stddevNorm,smile_mfcc1_sma3_stddevNorm,smile_mfcc3_sma3_amean,smile_mfcc3_sma3_stddevNorm,smile_F1bandwidth_sma3nz_stddevNorm,smile_F1amplitudeLogRelF0_sma3nz_amean,smile_alphaRatioV_sma3nz_stddevNorm,smile_spectralFluxV_sma3nz_stddevNorm,smile_mfcc1V_sma3nz_stddevNorm,smile_alphaRatioUV_sma3nz_amean,smile_spectralFluxUV_sma3nz_amean,smile_loudnessPeaksPerSec,smile_VoicedSegmentsPerSec,smile_MeanUnvoicedSegmentLength,smile_equivalentSoundLevel_dBp
1144,0.49295774647887325,0.7333333333333333,0.020833333333333332,0.2113095238095238,0.10416666666666667,0.13690476190476192,0.08035714285714286,0.17261904761904762,0.1636904761904762,0.05357142857142857,0.0,0.11011904761904762,0.01488095238095238,27.0,0.0,1.0,1.0,0.0,3.0,0.1861777150916784,0.09732016925246827,3.3863636363636362,336.0,3.511904761904762,0.0,13.539262334008143,1260.374084658694,0.7821428571428574,34.9,42.17273809523809,0.5360420496980072,0.3333333333333333,0.3541666666666667,0.3482142857142857,3.7260405797101446,4.335435569956522,2.373478260869565,1.701449275362319,4.526521739130435,0.10826901874310756,0.7752631578947509,0.5404871097348153,6.813671444321717,7.640949554895878,181.70274353027344,0.05743870884180069,0.714059591293335,1.5279432535171509,14.696874618530273,0.5102975964546204,1.1453940868377686,1.115329384803772,5.903474807739258,2.989532709121704,0.24812771379947662,-90.10318756103516,-0.8284873962402344,0.7372946739196777,0.6105809807777405,-3.045513868331909,0.11317802220582962,1.9869471788406372,1.538461446762085,0.26810944080352783,-24.210424423217773
1146,0.5714285714285714,0.45454545454545453,0.045662100456621,0.2237442922374429,0.1278538812785388,0.1552511415525114,0.0502283105022831,0.1552511415525114,0.1232876712328767,0.0593607305936073,0.0,0.1095890410958904,0.0,11.0,0.0,2.0,1.0,0.0,0.0,0.20425531914893616,0.09787234042553192,3.25,219.0,3.671232876712329,0.0,12.285189087264419,1982.4085291824986,0.746803652968037,34.24,27.374063926940646,0.07740742713187627,1.0,0.3607305936073059,0.4063926940639269,3.5845102040816323,4.607502979312501,2.3914583333333335,1.6795744680851064,4.70625,0.04020871700429699,1.3100000000000367,1.5960263155725818,6.773071413955181,7.056816970472011,242.40032958984375,0.22062885761260986,1.0322786569595337,1.7945055961608887,15.36743450164795,0.7309179306030273,0.9488989114761353,0.8693961501121521,2.822622299194336,7.949042797088623,0.24876834452152252,-57.722103118896484,-1.0710779428482056,0.7525838613510132,0.6194594502449036,-1.9776455163955688,0.18385764956474304,2.3493258953094482,1.3091342449188232,0.19568964838981628,-23.13593864440918
1147,0.6875,0.0,0.024630541871921183,0.23645320197044334,0.1625615763546798,0.11822660098522167,0.04433497536945813,0.18719211822660098,0.10344827586206896,0.07389162561576355,0.009852216748768473,0.11330049261083744,0.0,9.0,0.0,3.0,5.0,0.0,0.0,0.18457943925233644,0.1191588785046729,2.7974683544303796,203.0,3.748768472906404,0.007194244604316547,11.589340209336077,2316.55780686222,0.7633004926108377,35.65,25.62266009852217,0.18973327818588867,1.0,0.3694581280788177,0.4433497536945813,3.267684,4.582034124979167,2.3666666666666663,1.6340816326530612,4.6585416666666655,0.06830601092896063,0.7500000000000101,0.5913664563655192,6.762295081967012,7.258064516128807,413.5669250488281,0.14035393297672272,0.6836600303649902,1.485150694847107,15.239344596862793,0.5455003380775452,1.241896390914917,1.3768017292022705,5.582790851593018,2.994631052017212,0.307839572429657,-87.17131042480469,-1.2033131122589111,0.9043087959289551,0.8826609253883362,-5.0168304443359375,0.1563877910375595,2.439570188522339,2.4185421466827393,0.16436170041561127,-24.54033851623535
1148,0.8333333333333334,0.8,0.0572289156626506,0.18072289156626506,0.15060240963855423,0.1355421686746988,0.08132530120481928,0.12349397590361445,0.10843373493975904,0.05120481927710843,0.009036144578313253,0.0963855421686747,0.024096385542168676,27.0,0.0,2.0,1.0,1.0,3.0,0.15331491712707182,0.11878453038674033,2.7837837837837838,332.0,3.855421686746988,0.01276595744680851,12.369746547096588,1678.2117455594937,0.8316265060240959,39.37,20.704457831325303,0.11330743205053052,1.0,0.40963855421686746,0.43373493975903615,3.5422473684210525,4.929646584842105,2.346315789473684,1.6698148148148146,4.400877192982456,0.11172287221839747,0.8116666666666839,0.5611988218511176,7.868777242486555,8.858471074379867,292.382568359375,0.0322427824139595,0.7623921632766724,1.4213309288024902,17.41924476623535,0.670434296131134,1.2258973121643066,1.229745626449585,-7.236255168914795,-2.422159194946289,0.2451143115758896,-83.85407257080078,-0.8160701990127563,0.8691026568412781,0.6585835218429565,-0.10152723640203476,0.15152409672737122,3.141044855117798,2.1527304649353027,0.18019454181194305,-23.514169692993164
1149,0.6101694915254238,0.6818181818181818,0.028142589118198873,0.22138836772983114,0.1350844277673546,0.1275797373358349,0.06378986866791744,0.16322701688555347,0.1425891181988743,0.05628517823639775,0.00375234521575985,0.10131332082551595,0.0225140712945591,34.0,0.0,3.0,5.0,0.0,2.0,0.1836734693877551,0.10575139146567718,3.292929292929293,533.0,3.8048780487804876,0.002702702702702703,13.667439509497639,1811.801896687858,0.8228893058161358,36.43,51.14410412757974,0.18787041890295933,1.0,0.38461538461538464,0.41838649155722324,3.348658974358974,4.750867094170942,2.372393162393162,1.629913043478261,4.6496581196581195,0.05315330712698618,0.6220000000000134,0.544914147890702,8.932945935167476,9.434416365823983,449.9017028808594,0.18737563490867615,0.6374174356460571,1.2517852783203125,14.016531944274902,0.4519282281398773,0.9774067401885986,0.8422970175743103,10.52435302734375,1.9779852628707886,0.2891302704811096,-73.97676849365234,-1.0325669050216675,0.7159706354141235,0.6336719989776611,-5.541921615600586,0.11850103735923767,3.291038990020752,2.368406295776367,0.1398097723722458,-27.978559494018555
1150,0.4318181818181818,0.1875,0.05670103092783505,0.2268041237113402,0.0979381443298969,0.0979381443298969,0.04381443298969072,0.17783505154639176,0.13144329896907217,0.05154639175257732,0.002577319587628866,0.06958762886597938,0.041237113402061855,17.0,0.0,1.0,6.0,0.0,3.0,0.19546027742749053,0.08575031525851198,4.483870967741935,388.0,3.729381443298969,0.0078125,13.094897337021179,1518.193547435303,0.7867268041237114,36.69,74.85041237113401,0.31962686602947543,1.0,0.3711340206185567,0.4175257731958763,3.394197701149425,5.02003085333721,2.3530232558139543,1.6699999999999993,4.544022988505747,0.006583427922814914,0.8700000000000188,0.0,8.67953083617074,8.737050578915015,395.0453186035156,0.41947823762893677,0.896412193775177,1.4829367399215698,13.889748573303223,0.9127715826034546,0.9703581929206848,0.863956868648529,11.88843822479248,1.6537134647369385,0.29905256628990173,-37.12187576293945,-1.4331241846084595,0.8831174373626709,0.777921736240387,-1.8752323389053345,0.3858239948749542,2.280277729034424,1.9715970754623413,0.07641304284334183,-22.977025985717773
1152,0.7288135593220338,0.16666666666666666,0.034482758620689655,0.2260536398467433,0.16475095785440613,0.10727969348659004,0.034482758620689655,0.16475095785440613,0.09195402298850575,0.05747126436781609,0.0,0.11494252873563218,0.022988505747126436,9.0,0.0,1.0,4.0,0.0,4.0,0.17043478260869566,0.12173913043478261,4.357142857142857,261.0,3.7739463601532566,0.011627906976744186,12.052887068562146,2082.720495312208,0.782950191570882,36.64,19.325854406130265,0.10465829305628971,1.0,0.36398467432950193,0.45977011494252873,3.4795322033898306,4.8592873114137936,2.371551724137931,1.6848275862068964,4.487586206896553,0.19814090019569272,1.012500000000022,0.5526241745172628,6.03392041748187,7.524913565181764,499.0771179199219,0.0857577696442604,0.40767884254455566,0.9901289343833923,11.473933219909668,0.4786611795425415,1.274610996246338,1.1641864776611328,18.878629684448242,0.8025803565979004,0.3019689917564392,-102.56378936767578,-0.9014289975166321,0.8177483677864075,0.7223573923110962,-0.8812692761421204,0.1052495688199997,2.359858274459839,1.8048505783081055,0.2709693908691406,-24.648557662963867
1155,0.6176470588235294,1.0,0.03875968992248062,0.26356589147286824,0.16279069767441862,0.09302325581395349,0.046511627906976744,0.21705426356589147,0.12403100775193798,0.07751937984496124,0.007751937984496124,0.08527131782945736,0.0,6.0,0.0,3.0,1.0,0.0,0.0,0.19636363636363635,0.11272727272727273,2.888888888888889,129.0,4.046511627906977,0.0,11.081301765355725,1725.2334035483937,0.7081395348837205,34.5,24.74949612403101,0.016792385460721048,1.0,0.35658914728682173,0.4806201550387597,3.449211764705882,4.81855592197059,2.3720588235294113,1.6318181818181816,4.548235294117647,0.1069824418129838,0.8733333333333518,0.31444395367061556,5.988838981897185,6.706294772138175,297.8287048339844,0.2125079184770584,0.7030649185180664,2.1330745220184326,18.274534225463867,0.5840678215026855,1.1016960144042969,0.9709802269935608,11.32927131652832,1.628767967224121,0.2856541574001312,-44.225494384765625,-1.2328873872756958,1.0486243963241577,0.6565496325492859,1.0161360502243042,0.3489629030227661,2.2397243976593018,1.9093372821807861,0.09889830648899078,-24.429418563842773
1160,0.39622641509433965,0.13333333333333333,0.0256,0.2544,0.1008,0.0896,0.04,0.1728,0.1504,0.0432,0.0016,0.0704,0.0128,25.0,0.0,0.0,7.0,0.0,1.0,0.20155038759689922,0.09224806201550388,5.773076923076923,625.0,3.7824,0.018957345971563982,13.746286959190002,1697.2254349305058,0.8179200000000024,36.88,33.976708571428574,0.08440818153837212,1.0,0.3792,0.4256,3.3458198675496686,5.055657093277026,2.359594594594595,1.696,4.488187919463087,0.04661286897430811,0.5986363636363747,0.36945642767187503,6.515891555178408,6.834465604930446,711.6798095703125,0.10492019355297089,0.8099379539489746,1.828704833984375,19.76076316833496,0.6628656387329102,1.1934432983398438,2.484009265899658,10.343074798583984,1.626671314239502,0.3272705376148224,-87.26097106933594,-3.0474510192871094,0.9244735836982727,1.5499722957611084,3.686187505722046,0.3484674096107483,2.860340118408203,2.3537230491638184,0.16441740095615387,-23.600067138671875
1161,0.5157894736842106,0.22727272727272727,0.05855855855855856,0.21396396396396397,0.11036036036036036,0.10810810810810811,0.05405405405405406,0.16216216216216217,0.12837837837837837,0.04504504504504504,0.0022522522522522522,0.08333333333333333,0.02927927927927928,22.0,0.0,1.0,2.0,0.0,1.0,0.18142548596112312,0.09719222462203024,3.6904761904761907,444.0,3.7635135135135136,0.006688963210702341,12.911109420890249,1809.9909854606453,0.8228603603603629,37.67,21.30995495495495,0.06096834803816257,1.0,0.38963963963963966,0.4166666666666667,3.453088297872341,4.843054529344086,2.3647311827956994,1.6670212765957446,4.535698924731183,0.029618720340369633,0.775714285714307,0.5844044587685814,7.331042382588526,7.554806070826049,518.0323486328125,0.22474625706672668,0.6361258029937744,1.3166835308074951,16.5380802154541,0.6856682896614075,1.2650957107543945,0.9427293539047241,4.7643513679504395,3.8951635360717773,0.24536247551441193,-70.28719329833984,-0.9612687826156616,1.051468014717102,0.6250863075256348,-2.6578357219696045,0.2127603143453598,2.1840453147888184,2.7484142780303955,0.10738297551870346,-23.01797103881836
